0,1,2,3,4,5,6,7,8,9,10,11,SEX
-299.2994995,121.1498718,-20.03099442,38.82278442,-11.87405014,13.46034431,121.4889984,65.33981323,31.61395264,31.43315315,31.01734543,22.54803085,0
-329.5740356,122.5510635,-18.73485184,34.59562302,-13.88341045,12.68307877,130.7319641,70.46062469,34.12652206,32.05971146,28.03316689,26.05251884,0
-324.8108521,121.484581,-16.57762337,38.20597458,-11.31894588,13.33090401,127.6795578,63.11863327,29.5986557,32.90207291,30.26456451,21.75035858,0
-328.9158325,130.6052856,-12.43610954,40.72053146,-5.875631332,13.9560194,143.9264679,63.40960312,28.67178154,30.84965324,25.07430458,18.0778923,0
-339.2449646,109.6020889,-19.77844429,40.47243118,-10.3140955,15.7778368,145.1487732,70.34677124,32.14578247,35.79533386,30.92214012,23.78234863,0
-396.0431519,92.55442047,-14.25167656,34.65434265,-0.851278841,14.49171066,169.8352661,69.85426331,27.67760086,34.3008728,25.10660172,19.05433464,0
-344.2341309,122.5791092,-21.37298965,40.27782059,-6.994203091,12.45147705,122.1638184,65.17436218,32.92733002,33.57520676,29.36138344,18.67980766,0
-342.2705688,121.1833954,-25.63238525,37.52451324,-8.332258224,20.85149765,124.2370758,72.81253815,27.12267303,39.29289627,33.80993271,24.37510681,0
-363.3490906,108.3831406,-16.74855232,40.79064941,-7.117845535,13.48692608,149.8986053,75.34152985,32.64296341,39.12091827,31.60049057,25.1121273,0
-415.5517883,101.6584167,-17.10935783,36.91220474,1.127966881,11.19689274,164.4682617,73.18617249,30.59106064,34.28372192,18.85140228,19.03946877,0
-330.3360901,132.3959656,-16.92341995,34.88632202,-1.566200495,10.98793793,119.5110474,62.08550262,30.50199699,31.35083961,28.07021141,20.93805885,0
-356.6676025,107.2563248,-19.41062355,40.77620697,-4.237642288,14.82234669,152.1700897,72.72270966,30.74297905,32.53370667,29.32843018,20.09918213,0
-437.3259583,83.68006134,-5.503246307,36.88876724,-5.009090424,9.153830528,163.3776855,71.5246582,29.74965096,38.77012253,29.75203705,21.09349251,0
-379.1869812,126.4081421,-13.05601978,28.20173836,-9.014443398,12.68756676,163.0671082,68.86598206,29.31299591,28.47673416,25.30919456,16.99443626,0
-359.7922058,110.3829651,-5.78007555,38.70029068,-11.72567463,17.78299713,139.3386536,68.23459625,33.04211807,32.36514664,35.13461685,23.05467033,0
-391.6965942,116.6589355,-7.076565742,26.56337738,-12.13887787,7.803442001,160.1789856,73.34912872,26.11956596,27.96044159,32.65562057,13.41789627,0
-313.2470093,105.8617172,-24.47132301,29.7918644,-14.21906567,20.47427177,136.1131897,64.42572784,28.78861046,34.87495422,23.86316109,16.81366539,0
-350.6140137,116.4080963,-15.29167938,36.77861404,-16.10503578,5.259843826,149.1192932,68.0798111,47.72878265,37.58870316,30.84375954,23.08180237,0
-392.8456421,95.87228394,-17.86534882,39.81555939,-5.089956284,14.13482571,161.2127075,68.26667023,29.55343628,37.67304993,27.05812263,18.90448952,0
-342.9642639,112.0057068,-25.54322243,36.9573555,-13.29351616,16.46582794,138.9638672,71.34860229,37.76652527,32.76925278,32.73967743,24.28087997,0
-447.8201904,86.90898132,-10.51931667,38.27292252,-9.325867653,11.40598679,166.0562134,70.93595886,26.96157074,34.55861282,30.23339653,20.91335487,0
-380.3466187,113.9823303,-14.52943611,33.21999741,-14.18950748,10.27570724,146.119751,77.91612244,31.418787,30.91040039,31.22435379,24.93919563,0
-506.1027527,73.73828888,-6.461951256,33.87554932,3.497133255,9.677275658,162.9200745,65.36255646,30.01513481,30.48243332,19.5596981,10.27762127,0
-433.7892456,80.73716736,-12.37818241,42.46074677,-9.659914017,19.5200634,174.8723755,79.16677856,30.36662674,35.63862991,32.21346283,16.73900604,0
-424.5899963,100.4901352,-10.41785908,33.74326324,-3.308783054,16.31415558,155.0566711,66.43431091,26.91412354,37.6524086,24.59752274,18.91102028,0
-340.4808655,109.7163086,-22.31290245,50.43448639,-5.827796459,16.22998238,139.9526825,66.05823517,41.28518677,34.07117081,32.98950195,17.61047363,0
-390.349884,112.2043915,-7.451398849,34.07390213,-6.805401802,11.31505585,150.778656,63.03174591,31.335289,31.10944557,26.76932716,19.73319435,0
-363.8824463,123.4850464,-18.46346092,41.38779449,-9.876926422,11.41252899,133.4560394,68.03369141,34.37887955,32.81681824,29.23139,20.10627174,0
-305.954834,125.6164398,-15.58961773,30.89900017,-18.02569771,14.20542049,119.6792755,66.95533752,29.53118515,31.78147125,29.36959076,18.83886909,0
-357.5766907,129.206955,-18.70493507,31.42060852,-7.723151207,10.01714039,144.0239258,61.70469666,35.25094223,34.33856964,25.68719101,16.79444122,0
-326.8768616,125.8732834,-20.59835243,37.63057709,-20.40345383,13.73364639,111.6765823,67.45432281,33.9935379,33.74048233,32.16683197,22.44775581,0
-339.3859863,123.5572128,-22.28689957,30.77050209,-13.17273712,17.81033897,147.1896667,67.74958801,36.9158287,33.5312233,23.80073357,16.64447784,0
-346.1994019,114.5615845,-16.49925232,41.96780014,-2.902139187,15.38424683,138.9308014,68.48816681,37.7555275,33.83990097,29.52375031,21.33398628,0
-353.8298645,136.858078,-16.93646431,31.88439369,-2.378929138,14.41763496,133.9916687,66.70039368,35.01937103,28.34164047,27.88418579,22.38980865,0
-398.9455872,111.3938522,-12.74267387,38.99438858,-2.056199789,15.63633537,153.1149902,74.35149384,33.7289238,33.19763184,34.5778389,24.72379494,0
-340.0466919,102.5448761,-25.60471344,49.2036438,-5.005875587,16.76284027,136.3441772,65.31963348,34.47241592,35.43610001,38.64146042,21.6347332,0
-368.3000183,96.84912872,-26.89323235,54.97402191,-12.41493702,16.74853897,128.3108826,60.11514282,33.88076782,43.27830887,35.39224625,22.9970932,0
-312.9776001,147.997345,-29.61268044,36.9162941,-10.33816624,7.051612854,105.693222,62.5099144,28.85060501,30.23309135,29.95680618,20.25670052,0
-356.6066895,124.231987,-26.05280495,32.9812088,-4.405006886,13.27458668,141.0976715,77.21031189,33.96643829,27.15748596,25.63648224,21.8872757,0
-306.6741028,117.8664474,-21.26985168,42.28410721,-12.51953888,14.09019375,101.6732025,70.68090057,32.73336411,35.25974655,32.33113861,27.04607964,0
-305.7973938,130.6891937,-17.40968323,36.22085571,-19.05117607,9.762934685,112.7898331,60.65155792,32.42052078,33.14974594,29.15885162,21.87021065,0
-378.2433167,79.56213379,-20.50899887,45.41121674,-16.72219086,19.68264389,156.3425293,74.64099884,31.14069748,32.79567337,39.93106461,25.56462288,0
-328.4410095,125.6893234,-24.74600029,39.0541687,-16.97433281,14.27751923,118.7010651,70.87264252,34.5645256,36.21491241,32.29409409,21.27460861,0
-352.1256409,121.4393845,-16.66937447,27.71816826,-2.18605423,12.94793987,152.3848572,69.45561218,30.36260033,35.40867615,26.44669914,18.74370956,0
-370.8340149,119.5657806,-4.312817574,33.78309631,-11.01282883,14.14770794,137.8652954,71.1879425,30.40819359,37.1698494,32.70428085,28.14801025,0
-332.3852844,129.8608398,-20.20378304,42.8776207,-4.036113739,8.415107727,126.3316498,57.27112961,35.10403061,36.99009323,28.24588203,20.22671318,0
-364.5312195,114.4464111,-14.95159531,36.61323547,-5.660980225,10.34889603,142.4012146,66.83370209,27.98448563,35.34104156,31.2851696,23.12088394,0
-410.8697205,94.41853333,-11.36938858,36.10450745,-4.609069824,16.30692291,167.8180695,81.52973175,35.91821289,35.700737,30.79141235,19.02685738,0
-338.515564,126.4304428,-18.90725136,40.4191246,-11.42836189,13.89935875,129.6427765,63.93250656,34.37226868,37.56679535,30.60495949,22.79189873,0
-473.6553955,66.83546448,0.274744064,26.93336487,-10.51800537,13.80198097,163.7965851,66.05604553,21.43472481,29.90392303,32.05526352,22.97371674,0
-355.697113,117.6539764,-19.99433136,39.04794312,-9.72427845,14.99549198,140.9982758,65.70204926,28.94279099,37.5066185,25.94809341,18.12533379,0
-370.1575012,111.7134476,-26.26250267,38.79481125,-11.93704128,17.34232903,151.5739441,70.99650574,40.36290359,35.77067184,27.00231743,21.23326492,0
-372.7869568,102.9095306,-9.10545063,40.36212158,-16.86347961,18.28599548,133.087738,71.01113892,31.19822884,34.11983109,34.60895157,23.38139915,0
-371.3671265,99.72542572,-13.84860802,38.1714325,-17.02507973,14.45396709,164.8760529,80.9717865,34.37041855,29.53837967,34.57419586,24.25312042,0
-378.342865,108.2555084,-24.13845634,36.62473297,-7.565413475,12.69903851,147.7860565,77.59235382,37.63424301,36.63053894,33.49147034,25.15186119,0
-387.3940125,90.32034302,-18.72738075,40.26610947,-3.610276937,11.46918297,172.6497498,67.74213409,30.59378433,33.40685272,24.25818443,16.41399765,0
-414.3430481,102.6546783,-10.35991001,20.53830528,-14.179389,4.780539036,164.0725555,76.79720306,33.9581337,27.53727913,26.74614906,18.42733192,0
-336.4794312,118.4866104,-20.58053589,41.18912888,-8.083465576,13.62749863,119.4046783,65.05493927,34.54033661,32.32845306,30.62116814,22.72021675,0
-411.5755615,107.8639603,-11.47599316,18.38020515,-7.748795033,7.411025047,163.0061035,68.82176971,33.67130661,33.13927078,26.1197319,14.41922379,0
-343.6936951,121.219368,-26.75497627,37.89619064,-9.330729485,19.39214516,146.1595917,63.76041794,35.66233826,36.09664154,32.20015717,21.02241516,0
-318.8363647,126.2581787,-25.59589577,44.60891724,-8.490459442,10.01785183,121.7171783,66.12024689,33.14133835,31.38278961,31.68728065,23.27535439,0
-423.9708557,105.7037964,-4.487223625,33.71507645,0.654977679,7.882454872,144.1673737,69.83167267,31.68101501,35.80006027,23.74177933,19.37391853,0
-341.8946533,102.9837494,-14.47943497,34.8898201,-9.493673325,12.23176861,160.0007629,74.19771576,29.0981369,31.77992439,28.62309265,18.82907486,0
-336.2707825,103.7336655,-12.87836075,37.973526,-11.35949039,16.63580704,135.7777863,73.11898804,26.81358719,32.65076447,33.43675995,23.72371292,0
-329.7311096,132.2939301,-23.59619331,39.14141464,-15.71187878,16.17794418,126.2171555,63.89307022,33.51578903,27.47616768,31.29196167,22.57533836,0
-404.9092712,105.2561798,-8.281562805,23.46511269,-12.60250664,14.11736584,155.5544128,77.05310059,34.32851791,33.06451035,26.95344543,22.2123642,0
-360.0092163,113.4288025,-10.47093868,38.34473419,-10.49279976,9.655978203,122.2646561,71.39551544,34.04525757,35.04777527,33.82373428,24.60194206,0
-343.7296143,104.1429596,-15.10555172,48.29178238,-8.527084351,14.94880867,134.3728943,71.93000031,30.88087845,35.57875824,33.60912704,22.8129921,0
-330.0565186,104.2458038,-24.21728706,45.49582672,-13.08048344,17.81893158,127.3360367,75.68798065,31.1906147,30.7519722,35.85521317,23.91777611,0
-357.4443054,122.2171783,-8.329285622,31.70641899,-15.31315994,10.32490826,140.2805481,71.26896667,31.99001122,34.63792801,31.12770844,23.73620796,0
-355.4686279,95.36297607,-17.78583527,46.15826797,-3.123149157,13.28043652,140.0378571,67.32483673,30.8427372,33.64066315,30.39120483,23.73654366,0
-340.9560242,109.1440659,-18.78925323,35.02825928,-10.3616972,13.90696049,135.1802979,65.30970001,35.2027626,36.6132431,27.67253113,22.9985733,0
-326.4050293,112.5181503,-27.77239037,46.0431633,-8.663627625,13.9302969,161.5472717,79.86669922,35.13553238,37.46506882,29.48444557,23.70592499,0
-317.3550415,107.5243301,-31.12793159,53.66788864,-14.18408012,15.45914555,136.5794525,66.07585144,32.57313919,35.48857117,32.19352341,26.02519417,0
-322.1994629,125.9775314,-16.46806335,38.96948624,-10.85974884,10.48518944,113.5437012,65.51511383,32.81262589,33.71404648,31.36278343,21.24918938,0
-503.6258545,57.57826233,-10.54228306,16.4056797,-8.131155968,-5.861179829,166.7602386,74.75547028,44.57091904,25.92111206,15.97665596,11.45267677,0
-366.3997803,106.2805252,-8.923417091,39.31053543,3.487732887,6.199437141,133.8874512,74.87220764,28.28251266,35.65073776,23.54384804,14.60154724,0
-367.6705322,116.1924362,-15.63675117,45.81969452,0.599226117,6.226288795,105.7723465,71.7049408,35.86909485,33.91630936,27.57379723,20.84403038,0
-378.3272705,127.6752014,-11.29534912,38.40261459,2.426840067,-0.325592041,133.4365082,72.77518463,38.24326324,35.76850128,27.96453094,19.01734352,0
-362.7518005,137.1923981,-9.722913742,31.17575645,-3.114650726,2.164084911,120.1218033,73.26094818,34.34048462,33.96878052,22.80049515,22.83737564,0
-347.913269,129.3331451,-12.85739231,43.22691345,0.704377234,-2.863585711,106.8209,68.10238647,30.00547409,34.62105179,30.31210518,25.4827404,0
-392.6864014,122.7621384,-14.15185452,25.92962074,2.955240488,-2.430222034,150.9646301,81.96970367,33.84845352,34.18255997,20.35614395,20.16818237,0
-339.579895,130.546524,-15.13381767,46.8658638,5.595274925,2.419963598,132.2476501,71.11464691,31.11321831,38.97628021,30.04884338,24.60638046,0
-464.7261353,87.94384003,-18.80186653,34.27790833,-0.609275997,17.1683979,167.5029602,81.75045776,38.22327423,32.84329987,23.72999191,17.45053291,0
-351.0853882,135.5185547,-17.71037865,32.72489548,2.133388996,-0.166268975,120.1237793,69.16192627,34.24026871,30.57217979,23.6228199,19.31584167,0
-358.7195129,140.11203,-10.98267841,41.20472717,2.591861486,4.342153072,108.5626144,68.88419342,36.85805511,30.37497902,25.39807892,23.25261307,0
-342.7741089,115.8662186,-19.61776161,45.77136612,6.478251934,-1.514583707,129.6086426,64.38022614,38.15758896,34.9323616,23.14994049,25.64666748,0
-296.3536682,128.6084442,-23.97020721,33.94806671,-4.539203167,5.917796612,93.55090332,48.46036148,28.48324394,34.07682419,25.10141182,21.09568214,0
-460.7311707,95.188591,-12.2589407,33.10747147,3.953986883,3.16331768,163.0893097,87.15671539,32.2608223,30.52336884,21.54120636,16.71683311,0
-335.8282776,140.2317963,-14.43795395,33.27092361,-2.140618324,0.109893933,102.4030533,62.9742775,32.77642441,31.53541374,25.08835983,22.80770493,0
-377.7835083,122.2900238,-12.71292877,30.34130096,3.394281626,5.327768326,133.2202301,74.04354858,34.41725159,35.91519165,25.37118912,17.83805847,0
-297.1932983,123.3161545,-25.81550026,36.37504959,-4.189936638,1.049941778,96.24957275,59.8405571,34.49750137,31.25837708,25.87276459,22.95099449,0
-374.1555786,125.7981491,-8.757264137,34.79513931,8.744991302,0.257934093,147.0321808,71.37459564,35.9088974,21.68772507,21.55984688,21.47444153,0
-376.5921936,114.0033417,-10.58122635,48.68176651,7.031378746,7.893907547,132.2624969,59.24317932,34.41065216,37.03831863,28.65875435,22.84323502,0
-335.628479,129.2657623,-10.11859131,34.96673965,-2.328479528,-1.145051599,110.2397079,61.87111282,38.83336258,28.68839073,24.38313484,21.01299667,0
-330.7438049,124.7713776,-21.68914795,33.38043213,-0.595460296,-3.297250509,99.09644318,73.34741211,35.54757309,36.58878326,23.63607597,21.55963707,0
-331.2129517,136.6127319,-20.02404404,33.76886368,3.4506464,-4.954422474,98.7253418,65.81931305,33.22924423,33.13899612,22.71058655,21.37608528,0
-335.1756897,136.3939514,-16.85459328,29.17245483,-5.205338001,-3.340969563,111.3744278,68.77864075,36.31412125,31.79063416,24.03083611,22.07949829,0
-364.1152954,112.8658905,-19.42199516,43.8726387,-3.155323029,4.129608631,127.6151657,75.82546997,34.74108505,39.68115997,23.57410622,21.17353058,0
-382.5751343,117.3351669,-22.89565468,33.94609833,-3.122600317,-0.631811976,137.3404846,90.00302124,34.19717789,34.39478683,29.23973083,19.76940155,0
-398.5023499,122.5263367,-24.05961227,35.19009399,0.153975725,3.3218894,156.5034943,85.00868225,39.13624191,35.6553421,23.76509857,22.73184395,0
-389.3023376,119.6495972,-20.37488365,16.48213196,-4.41517067,5.052106857,153.8881836,91.98084259,25.60430336,42.75466537,18.98593903,21.45573807,0
-346.115448,123.497551,-26.33197975,41.72933197,6.009492874,5.992341518,131.6099243,66.24349976,34.38027573,34.78165817,27.23445129,19.30184555,0
-363.2165527,127.4071274,-31.33364677,25.95542908,-4.357934952,-3.732265234,143.8490295,74.11969757,33.13806534,35.41246414,19.35375786,20.18144798,0
-406.3662109,113.9039688,-20.64815903,39.75259781,-3.232362747,-2.076283455,152.9728088,82.43805695,33.29214478,37.5338974,25.14737129,21.69190979,0
-338.9819336,99.03568268,-22.80192184,30.36997414,-14.16104889,-2.647116661,144.5631714,79.05879211,40.18993759,39.50188828,26.05177116,23.43190384,0
-367.9481201,124.004509,-18.25089073,34.13217163,2.156172514,-0.711320579,134.4541321,76.76424408,38.09115601,35.49943924,27.24901199,19.0896492,0
-367.9308777,117.9967804,-21.63887596,44.65078735,-1.361155272,2.544229031,137.7852783,75.74848175,38.25571823,36.670578,28.22205925,21.20546722,0
-335.0090942,138.5300446,-18.08040047,22.64570427,2.0499897,-6.132890224,113.5487061,66.86049652,40.28593445,29.73511314,21.77768517,20.36686897,0
-334.1648254,134.0696869,-25.40873146,40.2384491,-6.776377201,-8.683886528,112.590683,63.83591843,36.52751923,32.85509872,31.53520966,26.46220398,0
-332.4880371,127.4582443,-24.64320564,36.74594116,-7.533595562,-1.766212225,110.7880249,70.47167206,33.9238472,33.62643051,25.90378952,24.63334084,0
-362.0626526,127.9673157,-25.38361549,26.15034866,3.95230484,-2.171832323,139.0908051,73.65280151,38.50268555,32.55821609,19.42861938,19.36768723,0
-358.4304199,121.7414322,-18.52285194,34.07236099,-9.307901382,0.67132926,135.2875671,76.40674591,35.87634277,37.70423889,22.22235489,20.31945038,0
-426.4320068,78.85954285,-15.47195339,27.74506187,0.823994577,3.004623652,153.459259,80.85219574,34.23498917,34.6008606,17.95120621,14.82868099,0
-344.6139832,111.0689545,-21.99960709,39.13031006,2.106436014,1.189754963,137.8442841,72.7372818,32.1138382,35.52479553,29.09188461,19.80503654,0
-306.3523865,111.1759262,-34.86709976,29.65461349,-11.96290588,-9.521826744,132.8377228,64.80529022,39.10989761,35.89676285,23.35785866,22.54764175,0
-425.2380981,103.7372284,-21.24196815,42.64989853,-3.404011726,2.040977001,182.7642365,87.16678619,32.11714935,37.79584122,24.19015503,17.83894539,0
-441.9223022,105.770546,-5.538713455,22.55457306,0.382380724,4.148519516,149.8297882,82.75658417,31.08488083,31.42444229,25.60309029,17.48535538,0
-341.9546509,135.8401794,-19.28951454,39.98052979,-6.13416338,-4.190373421,104.3038712,65.40232849,44.23596954,36.82835388,20.5201931,19.56944466,0
-294.4467468,119.0131683,-36.18078232,29.37688255,-10.48879242,-0.625017941,86.13439178,64.1497345,35.69441986,40.07410431,21.3907547,21.12905312,0
-296.5411377,128.9342194,-22.14945221,35.77582932,-8.00335598,-2.388801098,101.6587601,66.0125351,37.64061356,35.91884613,25.44866753,25.61385345,0
-322.6999512,117.8777618,-27.84754944,38.66725159,-10.53112411,2.879015684,116.4695816,65.14535522,33.70085526,32.84880447,24.63433838,21.25482941,0
-312.7627869,125.8684921,-32.23019409,40.48714066,-3.183618784,1.001952529,117.6160507,61.48103714,33.51967239,33.85246658,27.5054493,21.37854385,0
-317.6314087,113.132782,-21.8989048,36.18215561,-3.096227169,1.529266596,104.1812134,66.56569672,35.97211075,33.35234833,28.61734962,24.57983017,0
-357.8675537,124.7731171,-27.06575584,32.05343628,-1.898269534,4.873189449,155.2386322,73.91355896,38.9263649,32.30912399,22.42050552,21.48860931,0
-353.4145508,125.1560822,-20.58802414,26.6425209,-6.045015812,-3.573214531,140.4274292,72.39888763,36.0724678,24.75235558,20.28482437,18.66461945,0
-417.2184753,83.97498322,-24.17200851,30.67349243,1.456123471,6.064080715,169.2848511,73.06130981,33.69838333,32.01277924,24.10971642,15.85735989,0
-368.0370483,121.2289124,-17.44590759,27.410429,-7.300626755,-5.520276546,136.5859222,73.10569,33.65858459,28.35445976,21.05265236,22.58050156,0
-371.6743469,100.6496506,-16.07752228,36.14966965,7.210953236,0.433134943,132.1256714,75.70494843,42.28865433,31.17473412,23.85673141,17.71901703,0
-390.4653931,103.7107468,-24.33340454,39.14279175,1.455117583,1.371545434,157.494873,73.08983612,39.18520355,28.44180679,25.94045639,16.80545235,0
-315.316864,132.36409,-33.42810059,36.43170166,-6.283032417,-0.576071382,104.8933563,70.62509155,33.47462845,37.79060364,25.02366447,21.38160706,0
